country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.577,0.578,0.579,0.58,0.58,0.581,0.582,0.582,0.582,0.582,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.581,0.579,0.578,0.578,0.579,0.58,0.578,0.578,0.578,0.578,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581
Albania,0.45,0.45,0.45,0.449,0.451,0.453,0.454,0.453,0.451,0.449,0.438,0.428,0.418,0.409,0.394,0.392,0.405,0.407,0.408,0.408,0.407,0.407,0.405,0.406,0.406,0.405,0.405,0.408,0.405,0.409,0.411,0.411,0.411,0.411,0.411,0.413,0.414,0.416,0.418,0.418,0.416,0.416,0.409,0.409,0.393,0.409,0.408,0.431,0.438,0.438,0.438,0.438,0.433,0.429,0.429,0.431
Algeria,0.191,0.189,0.187,0.185,0.185,0.185,0.186,0.186,0.186,0.186,0.191,0.191,0.186,0.186,0.184,0.185,0.184,0.184,0.184,0.184,0.164,0.164,0.165,0.166,0.164,0.162,0.163,0.163,0.163,0.162,0.162,0.163,0.163,0.166,0.166,0.166,0.167,0.167,0.167,0.168,0.168,0.167,0.168,0.173,0.173,0.173,0.173,0.173,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
Andorra,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.532,0.532,0.511,0.511,0.511,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.484,0.486,0.486,0.485,0.464,0.463,0.442,0.442,0.442,0.421,0.421,0.399,0.4,0.4,0.4,0.4
Angola,0.459,0.459,0.459,0.459,0.459,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.461,0.46,0.46,0.46,0.46,0.462,0.462,0.462,0.462,0.463,0.463,0.468,0.468,0.473,0.473,0.475,0.475,0.475,0.475
Antigua and Barbuda,0.227,0.205,0.227,0.205,0.25,0.25,0.227,0.227,0.25,0.25,0.25,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.159,0.182,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205,0.205
Argentina,0.504,0.499,0.493,0.487,0.482,0.478,0.474,0.472,0.472,0.472,0.472,0.471,0.471,0.471,0.47,0.47,0.469,0.469,0.468,0.468,0.467,0.471,0.47,0.47,0.469,0.469,0.467,0.465,0.466,0.466,0.466,0.467,0.467,0.468,0.468,0.468,0.469,0.469,0.469,0.47,0.47,0.47,0.478,0.491,0.504,0.516,0.526,0.527,0.525,0.539,0.542,0.545,0.545,0.543,0.543,0.543
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.411,0.415,0.421,0.437,0.459,0.468,0.466,0.465,0.465,0.466,0.489,0.507,0.529,0.564,0.617,0.615,0.614,0.613,0.609,0.596,0.591,0.591,0.59,0.589,0.589
Australia,0.601,0.604,0.607,0.611,0.616,0.617,0.621,0.618,0.623,0.627,0.629,0.631,0.634,0.635,0.634,0.635,0.623,0.62,0.625,0.629,0.628,0.622,0.613,0.616,0.616,0.613,0.613,0.615,0.608,0.605,0.603,0.607,0.599,0.611,0.603,0.606,0.602,0.604,0.591,0.593,0.593,0.582,0.572,0.573,0.579,0.566,0.554,0.543,0.532,0.519,0.533,0.528,0.516,0.529,0.476,0.482
Austria,0.431,0.428,0.423,0.421,0.419,0.412,0.409,0.407,0.406,0.404,0.402,0.4,0.39,0.388,0.386,0.386,0.385,0.385,0.381,0.38,0.382,0.381,0.366,0.367,0.368,0.367,0.367,0.369,0.369,0.366,0.368,0.365,0.363,0.363,0.361,0.36,0.359,0.358,0.358,0.356,0.353,0.351,0.349,0.347,0.346,0.344,0.343,0.34,0.338,0.337,0.334,0.331,0.329,0.329,0.329,0.324
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534,0.536,0.539,0.539,0.544,0.551,0.563,0.567,0.574,0.575,0.574,0.575,0.575,0.576,0.576,0.576,0.576,0.576,0.577,0.577,0.577,0.577,0.577,0.577,0.577
Bahamas,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.00999,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.015,0.015,0.014,0.014,0.014,0.014,0.014,0.014
Bahrain,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.116,0.145,0.145,0.145,0.145,0.145,0.13,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.141,0.13,0.13,0.13,0.124,0.119,0.118,0.116,0.112,0.108,0.11,0.113,0.112,0.112,0.112,0.112,0.111,0.111
Bangladesh,0.728,0.728,0.728,0.731,0.74,0.741,0.745,0.743,0.743,0.745,0.745,0.768,0.767,0.767,0.769,0.768,0.768,0.767,0.767,0.767,0.767,0.767,0.765,0.773,0.77,0.771,0.777,0.801,0.802,0.798,0.793,0.734,0.726,0.719,0.72,0.717,0.719,0.725,0.729,0.722,0.722,0.719,0.717,0.716,0.715,0.713,0.712,0.711,0.71,0.71,0.701,0.701,0.7,0.699,0.704,0.706
Barbados,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.442,0.419,0.419,0.419,0.395,0.395,0.372,0.372,0.372,0.372,0.372,0.372,0.349,0.326,0.302,0.291,0.279,0.256,0.233
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,0.461,0.461,0.46,0.46,0.459,0.459,0.458,0.456,0.45,0.445,0.443,0.442,0.441,0.441,0.439,0.439,0.44,0.439,0.437,0.433,0.429,0.425,0.422,0.42
