country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,250000,0,0,0,80000,0,272000,0,30000,0,0,0,0,0,0,0,161000,0,0,141000,4600,0,0,7530,9920,20800,330,500,0,0,5630,3890,4520,18600,33300,30600,1180
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,3500,0,8000,0,0,0,0,66900,0,2500,503,0,0,0
Algeria,0,0,0,146000,20000,0,0,0,0,30000,0,93,8550,0,1520,15000,0,0,0,0,0,0,2280,38,31200,0,105,3000,0,714,249,46300,2350,91,27600,1830,60000,1390,59100
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,79100,40000,8,840,334000,10000,225,46100,81400
Argentina,36,0,0,0,0,0,0,2500,1600,20000,40000,0,50000,6080000,0,1210000,204000,12000,4600000,0,2020,0,88100,0,0,2500,0,12500,360000,0,37800,251000,12000,163000,6310,0,4500,135000,85000
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,144,0,0,0,0,0,1,0,0,0,0
Australia,0,27,0,12000,14,0,10000,0,7,0,0,2,0,0,36,0,8,0,16,9,6010,0,0,20500,0,0,13200,400,15200,0,600,4000,0,471,3620,3000,1100,5010,4200
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,2,0,3,0,3,0,0,60000,0,0,904,516,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660000,0,75000,0,0,0,0,0,31500,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
